Attractor,States,Basin_Mean,Basin_SD
Attractor1,1k,22.68,0.8
Attractor1,10k,21.98,0.1
Attractor1,100k,21.68,0.04
Attractor1,1M,21.54,0.05
Attractor2,1k,18.89,1.03
Attractor2,10k,19.42,0.17
Attractor2,100k,19.93,0.2
Attractor2,1M,20,0.04
Attractor3,1k,19.48,0.19
Attractor3,10k,19.93,0.13
Attractor3,100k,20.79,0.04
Attractor3,1M,21.32,0.02
Attractor4,1k,19.26,1.62
Attractor4,10k,18.04,0.27
Attractor4,100k,17.88,0.12
Attractor4,1M,17.72,0.05
Attractor5,1k,13.07,0.9
Attractor5,10k,13.24,0.34
Attractor5,100k,12.93,0.13
Attractor5,1M,12.83,0.02
Attractor6,1k,4.5,0.49
Attractor6,10k,4.22,0.21
Attractor6,100k,3.99,0.05
Attractor6,1M,3.87,0.02
Attractor7,1k,1.08,0.5
Attractor7,10k,1.45,0.07
Attractor7,100k,1.48,0.01
Attractor7,1M,1.52,0.01
Attractor8,1k,0.65,0.18
Attractor8,10k,0.74,0.06
Attractor8,100k,0.67,0.01
Attractor8,1M,0.64,0.01
Attractor9,1k,0.4,0.09
Attractor9,10k,0.39,0.04
Attractor9,100k,0.42,0.04
Attractor9,1M,0.4,0.01
Attractor10,1k,0.1,0.09
Attractor10,10k,0.12,0.03
Attractor10,100k,0.08,0.02
Attractor10,1M,0.08,0
Attractor11,1k,0.03,0.05
Attractor11,10k,0.05,0.02
Attractor11,100k,0.05,0.01
Attractor11,1M,0.05,0.01
Attractor12,1k,0,0
Attractor12,10k,0.03,0.02
Attractor12,100k,0.03,0.01
Attractor12,1M,0.02,0
Attractor13,1k,0,0
Attractor13,10k,0,0
Attractor13,100k,0,0
Attractor13,1M,0,0
Attractor14,1k,0,0
Attractor14,10k,0,0
Attractor14,100k,0,0
Attractor14,1M,0,0